url,url_alt,date,short,tease,tease_flag,hed,dek,hed_flag,dek_flag,author,bgColor,fgColor,color_override,keyword,hide_all,hide_footer,filters,faves,home_text,home_pick,collection,last_checked,needs_fixing,fix_note
2019/05/three-seconds,,05/01/2019,defensive 3 seconds,The NBA has a defensive three seconds problem. We tracked how often players are camped in the paint.,100,The NBA Has a Defensive Three Seconds Problem, NBA refs: stay in your lane. NBA players: don’t mind if we do.,45,63,"russell,owen",,,,"basketball, nba, sports, ref, defensive, three seconds, defense, video",,,video,,,,basketball-ref,9/25/2024,,
2019/05/hyphens,,05/13/2019,hyphenated names,"Since the 1950s, hyphenated last names in pro-sports have been on the rise. The WNBA leads the way, as it so often does.",120,The Rise of Hyphenated Last Names in Pro Sports,Since the 1990s names that arch over jerseys have become more common.,47,69,jan,,,,"sports, name, hyphen, language, basketball, baseball, football, hockey, soccer, diversity, representation",,,,,,,"names,sports-all",9/25/2024,,
2019/05/science_etc_1,,05/20/2019,research paper data,Want to access the raw data behind an academic paper? OK. Has it been a few years? Yeah... good luck with that. ,112,How Much Data Lies Behind the Paper You’re Reading?,Want to access the raw data behind an academic paper? Good luck.,51,64,ilia,,,,"science, research, data, study",,,,,,,science,9/25/2024,,
2019/05/names-in-songs,,05/23/2019,names in songs,"Billie Jean is not my lover, but it’s one of the names we tracked for this project. Here’s how often names are in songs.",120,How Often Names are in Songs,"Every song seems to be written about ""Baby"". Where does your name stack up?",28,75,amber,,,,"music, name,song,lyric",,,,,,,"music,names",9/25/2024,,
2019/05/people-map,,05/29/2019,us people map,We made a map that replaces US city names with their most Wikipedia’ed resident.,80,A People Map of the US,Where city names are replaced by their most Wikipedia’ed resident.,22,66,"russell, matt",,,,"wiki, geography, america, united states, city, cities, name,celebrity, celebrities,map",,,popular,,mapping famous people,popular,"maps,celebrities",9/25/2024,,
2019/06/people-map-uk,,06/03/2019,uk people map,We made a map that replaces UK city names with their most Wikipedia’ed resident.,80,A People Map of the UK,Where city names are replaced by their most Wikipedia’ed resident.,22,66,"russell, matt",,,,"wiki, geography, united kingdom, name, celebrity, celebrities,map, city, cities",,,,,,,"maps,celebrities",9/25/2024,,
projects/music-history,,06/14/2019,best year in music,Sit back and relax as we take you on an updated journey through every Billboard Top 5 hit to find music’s greatest era.,119,Best Year in Music,A journey through every Billboard top 5 hit to find music’s greatest era,18,72,matt,,,,"music, history, year, best, hit, chart, song",,,"audio, popular",,,,music-history,9/25/2024,,
2019/06/science_etc_2,,06/17/2019,anti-vax misinformation,"Using news coverage, we plotted how one highly unethical study on vaccines has caused outsized, irreparable harm.",113,A Chronicle of the Anti-vaccination Movement,How one unethical study on vaccines caused irreparable harm.,44,60,ilia,,,,"health, science, vaccination, vaccine, research, study",,,,,the anti-vax movement,ilia,science,9/25/2024,,
2019/06/summer-reading,,06/24/2019,hipster reading list,Our 2019 hipster summer reading list will introduce you to an artisanal selection of obscure books before they’re cool.,119,Hipster Summer Reading List 2019,An artisanal guide to obscure books based on 100 million checkout records.,32,74,"russell, amber",,,,"books, hipster, read, list, 2019, library, literature",,,,,,,books,9/25/2024,,
2019/07/book-covers,,07/02/2019,book cover similarity,"Are book covers starting to look the same? We organized over 5,000 top-seling book covers by visual similarity.",111,"Top-Selling Book Covers, Arranged by Visual Similarity","An interactive map of over 5,000 book covers, organized by machine learning",54,75,jess,,,,"books, cover, best seller, literature, image",,,,,,,books,9/25/2024,,
2019/08/register,,08/15/2019,male falsetto,"Are men singing higher in pop songs today? Biebs, the JoBros, the Weeknd, we’re coming for you... with data.",108,Are Men Singing Higher in Pop Music?,Men’s voices in pop music seem really high. When was vocal register the highest?,36,80,matt,,,,"music, history, falsetto, sing, pop, range, vocal, high",,,,,,,music-pop,9/25/2024,,
2019/09/language-of-congress,,09/15/2019,language of congress,What were the dominant topics Congressional members were tweeting (and not tweeting) about in 2019? ,100,The Language of Congress,What topics do members of Congress tweet about most frequently?,24,63,charlie,,,,"politics, language, congress, twitter, america, united states, senate, house of representatives, tweet",TRUE,,,,,,"language,politics",9/25/2024,TRUE,removed
2019/09/millennials,,09/26/2019,things millenials kill,"Headlines say millennials killed napkins, marriage, and Applebees. We say, ""you’re welcome."" What’s next for this group?",120,The Millennial Question,How does popular media see our generation?,23,42,"allie,ilia,jan",,,,"language, millennial ,headline, kill, news, media",,,,,,,language,9/25/2024,,
2019/10/slang,,10/01/2019,most complicated word,Is “ass” the most complicated word in English? We tracked down 201 historic usages and compared it to other slang.,114,Is “Ass” the Most Complicated Word in English?,An investigation into the mutability of slang.,46,46,kevin,,,,"language, ass, word, complicated, english",,,,,,,language-slang,9/25/2024,,
2019/10/pubs,,10/09/2019,pub crawl generator,"We’ve devised pub crawl routes between UK watering holes of the same name. One Red Lion down, 338 to go. Cheers!",112,Ye Olde Mad-Lib Pub Crawl Generator,Finding the shortest route between UK pubs of the same name.,35,60,"caitlyn,jan",,,,"geography, food, pub, beer ,brew, united kingdom, map, england, drink, pint",,,,,,,maps,9/25/2024,,
2019/10/shelters,,10/15/2019,dog adoption,"Everything’s bigger in Texas, even the number of exported adoptable dogs. Here’s where the dogs in your state are from.",119,Where Do Adoptable Dogs in Your State Come From?,It may be further than you think.,48,33,"amber,sacha",,,,"america, dog, adoption, map, geography, animal, pup",,,,,,,animals,9/25/2024,,
2019/10/prosecutors,,10/24/2019,kim foxx effect,"When an elected official promises to transform prosecution, do their actions live up to their words? We investigated. ",118,The Kim Foxx Effect,Measuring the data behind a promise to transform prosecution.,19,61,matt,,,,"politics, incarceration, criminal justice, kim foxx, chicago, cook county, attorney, prosecution",,,,,,,criminaljustice,9/25/2024,,
2019/10/laugh,,10/29/2019,laughing online,"Do you ""lol?"" Or ""haha?’ Or ""hehe?"" We charted the usage, evolution, and perception of digital laughter.",104,Laughing OnLine,"Exploring the usage, evolution, and perception of digital laughter.",15,67,"russell,kishan,caitlyn,jan",,,,"language, laugh, lol, word, text, online, internet",,,your_input,,laughing online,,language-slang,9/25/2024,,
2019/11/big-hair,,11/20/2019,big hair,"From beehives, to afros, to bumpits: we looked at 30,000 yearbook photos to officially crown the ""Big Hair Era.""",112,The Big Data of Big Hair,Investigating when big hair was at its height.,24,46,"elle, jan",,,,"images, history, hair, deep learing, neural network, video, style, fashion, men, women, gender",,,video,,,,"fashion,photos",9/25/2024,,
2019/12/real-mvp,,12/05/2019,worst most paid player,"Ranking player performance against pay, we found the worst, highest-paid NBA player, ever. Sorry, Melo.",103,"The Worst, Highest-Paid NBA Player, Ever",Using advanced NBA stats to rank player performance against pay.,40,64,matt,,,,"sports, nba, basketball, video, worst, player",,,,,,,basketball-players,9/25/2024,,
2020/01/apology,,01/15/2020,youtube apology,Will saying sorry save your reputation? We quantified the lasting impact of a YouTube appology and controversy.,111,The Aftermath of a YouTube Apology,Quantifying the lasting impact of a YouTube controversy.,34,56,"russell,arjun",,,,"media, youtube, apology, apologies, celebrities, celebrities, video, sorry, controversy",,,,,,,celebrities,9/25/2024,,
2020/01/diaspora,,01/23/2020,international clusters,America has often been called a nation of immigrants. We mapped where they settled.,83,Where International Communities Cluster,America has often been called a nation of immigrants. Here’s where they settled.,39,80,"ilia,izii",,,,"america,international,geography,map,diaspora,diversity",,,,,,,maps,9/25/2024,,
2020/02/authors,,02/13/2020,author proximity,Do authors write where they know? We calculated the distance between where authors lived and where their books were set.,120,Do Authors Write Where They Know?,Examining how far authors set their books from where they’ve lived.,33,67,"simran,russell,amber",,,,"geography, book, author, literature",,,,,,,books,9/25/2024,,
2018/06/music-map,,02/24/2020,cultural song borders,"Find your new jam here. We mapped several month of #1 songs in 3,000 places.",76,The Cultural Borders of Songs,"We mapped last month’s #1 songs in 3,000 places. ",29,49,matt,,,,"geography, music, map, border, song",,,"video, popular",,,,"music-map,maps",9/25/2024,,
2020/02/rain,,02/26/2020,rain by cities,"These are the cities where you’ll need your umbrella, ella, ella, eh, eh, eh. Seattle may be less rainy than you think.",119,Where will you need your umbrella?,Seattle may be further down that list than you’d think.,34,55,amber,,,,"climate, weather, rain, seattle, precipitation, cities, city, united states, america",,,,,,,climate,9/25/2024,,
2020/03/gifs,,03/08/2020,emotional gif range,"Emojis are nice, but GIFs have range. We looked at how we use these looped clips of celebs to convey feelings.",110,The Emotional GIF Range of Celebs,Breaking down how celebrities are used to convey feelings.,33,58,"matt,charlie",,,,"culture, gif, celebrities, emotion, meme",,,,,,,celebrities,9/25/2024,,
2020/03/census-history,,03/30/2020,us census evolution,"To learn about the US’ evolving priorities, norms and biases, we collected every question to ever appear on a census. ",118,The Evolution of the American Census,What do the questions reveal about American culture and society?,36,64,alec,,,,"history, census, united states, america, population, demographic, people",,,,,,,history,9/25/2024,,
2020/04/kidz-bop,,04/07/2020,kidz bop censorship,"When it comes to sanitizing lyrics, where does Kidz Bop draw the line? (This was pre-WAP though; now all bets are off.) ",120,Just How Does Kidz Bop Censor Songs?,We looked at 19 years of albums to find out what gets the black bar.,36,68,"jan, sara, amber",,,,"music, kidz bop, censor, lyric, song",,,,,,,music-pop,9/25/2024,,
2020/04/infinite,,04/14/2020,infinite monkey,"What happens when you combine music, a monkey, Joe Rogan, and probability? You get this experiment.",99,The Infinite Monkey Theorem Experiment,"What happens when you combine music, Joe Rogan, and probability?",38,64,"russell,amber",,,,"explainer, infinite, monkey, music, piano, song, experiment",,,updating,michelle,monkeys playing piano,"kevin, michelle",experiment,9/25/2024,,
2020/04/music-challenge,,04/30/2020,generations in music,Take this quiz to see if you’re better than others your age at recognizing songs from history.,94,Identifying Generational Gaps in Music,Do you recognize songs from history more than people your age?,38,62,matt,,,,"music, generation, age, quiz, history, song",,,your_input,michelle,musical generations,"matt, michelle","music-gen,quiz,user-input",9/25/2024,,
2020/05/wrestling,,05/12/2020,masked wrestlers,"Do you smell what we’re cooking? It’s stories, facts, and pixel art drawings of over 200 masked wrestlers.",106,An Illustrated Guide to Masked Wrestlers,"Stories, facts, and pixel art drawings of hundreds of masked wrestlers.",40,71,"gwendal, russell, jan",,,,"sports, mask, wrestling, lucha libre, luchador, pixel, wrestle",,,,,,,sports-all,9/25/2024,,
2020/05/travel-local,,05/27/2020,local travel guide,"Where do Tripadvisor reviewers go when they’re staying local? Our guide to 74,762 US attractions will tell you. ",112,A Data-driven Trip Through the USA,"A travel-like-a-local guide to 74,762 attractions according to 9,526,193 reviews",34,80,ilia,,,,"america, travel, visit, united states, trip, tripadvisor, things to do, map, geography",,,,,traveling like a local,ilia,maps,9/25/2024,,
2020/06/karen,,06/16/2020,you know karen,"Using baby name data, we found the names that could be at risk of becomming future ""Karens"" in 10, 20, and 30 years.",116,You Know Karen,"We found names that could be “other Karens,” ""male Karens,"" and “future Karens.”",14,80,"jan,sara,amber",,,,"karen, name, meme, race, culture, racism",,,,,the name Karen,,names,9/25/2024,,
projects/flooding/visuals,,06/29/2020,flooding in america,"Nearly 14.6M properties in America are in a flood zone, with more likely in the near future. We mapped the scenarios.",117,Flooding in America,How is Flooding Affecting Your Community?,19,41,matt,,,,"climate, science, flood, map, geography, water, weather, global warming, climate change",TRUE,,,,,,"maps,climate",9/25/2024,TRUE,removed - a few maps aren't loading
2020/07/gendered-descriptions,,07/16/2020,gender in literature,What physical traits are most tied to gender in literature? Eye roll: Women are all soft thighs and red lips.,109,The Physical Traits that Define Men and Women in Literature,"An analysis of 2,000 books and how body parts are described, by gender.",59,71,"liana,erin",,,,"book, gender, literature, language, sex, men, women, trait, physical",,,,,gender in books,,"gender,books",9/25/2024,,
2020/07/song-decay,,07/22/2020,90s music canon,We quizzed people on how well they recognized ’90s songs by their birth year. Britney and Whitney have staying power.,117,Defining the ’90s Music Canon,Quantifying the songs that will characterize the ’90s,29,53,"matt,ilia",,,,"music, 1990s, nineties, song, canon, hit, chart",,,,,songs of the 90s,ilia,music-gen,9/25/2024,,
projects/newsletter,,07/24/2020,winning the internet,"To help you clear out your inbox, we’ve compiled a data-driven newsletter of popular links in other newsletters.",112,Winning the Internet,A data-driven newsletter of links in other newsletters.,20,55,russell,,,,"new, newsletter, email, win, inbox, internet, link",,TRUE,,,a newsletter of newsletters,,experiement,9/25/2024,,
2020/08/campaign-colors,,08/11/2020,candidate colors,"We examined 271 presidential candidate branding designs from 1968–2020. Here’s who goes beyond the red, WHITE, and blue.",120,How candidate diversity impacts color diversity,We examined 271 presidential designs from 1968–2020.,47,52,jan,,,,"politics, design, democrat, republican, red, blue, white, america, united states, color, poster, logo, race, gender, president, election, diversity, repsentation",,,,,,,"politics,gender,race",9/25/2024,,
2020/08/income,,08/19/2020,middle class,"Using 50 years of data, we explored economic mobility and determined just how rigid the middle class really is. ",112,"How rigid is the middle class in the US, really?","Exploring the economic mobility of 11,172 middle class families over 50 years",48,77,"alice,amber",,,,"politics, equality, america, united states, middle class, income, economy, economics, money, ridig, mobile, mobility",,,,,,,economy,9/25/2024,,
2020/09/wedding-playlists,,09/10/2020,generational music,A data comic to help you understand how the dance floor is generationally divided. ,83,A Data-Led Theory to Generationally Divide Dance Floors,Some age groups are more likely to recognize certain songs than others,55,70,"matt,liana",,,,"music, generation, age, history, song, dance floor",,,,,,,music-gen,9/25/2024,,
2020/10/kpop,,10/01/2020,k-pop group size,We tracked K-pop group sizes and member roles over modern K-pop’s 30-year history. BTS Army click here.,103,Why are K-pop groups so big?,We tracked group sizes and member roles over modern K-pop’s 30-year history.,28,76,"isabella, elizabeth",,,,"music, k-pop, big, korea, bts, blackpink, size, pop, celebrities, celebrity",TRUE,,,,,,music-pop,9/25/2024,TRUE,removed - flourish scrolly broken
2020/10/photo-history,,10/20/2020,photo history quiz,Take the quiz: Can you identify when these photos were taken? It may not be as easy as it sounds. ,98,This is an Experiment about How We View History,We’re going to show you some photos and ask you when each picture was taken.,47,76,"matt,jan",,,,"history, design, image, photo, quiz, date, year, color",,,your_input,,how we see history,,"experiment,quiz,user-input,photos",9/25/2024,,
2020/10/police-misconduct,,10/29/2020,police complaints,Philly openly reports about complaints against police officers. But we found that public doesn’t equal transparent.,115,How officer complaints are investigated,A case study of Philadelphia police,39,35,slearner,,,,"police, equality, criminal justice, race, racism, philadelphia, cop, complaint",,,,,,,criminaljustice,9/25/2024,,
2020/11/cloud-zoo,,11/09/2020,cloud zoo,Need a cute animal fix? Here’s a menagerie of live-streams from your favorite zoos and aquariums all in one place. ,115,Welcome to the Cloud Zoo,Live-streamed animals from your favorite zoos and aquariums all in one place,24,76,"amber,rj",,,,"zoo, animal, video, cloud, virtual, web cam, live",,,video,,,,experiment,9/25/2024,TRUE,missing/broken feeds
2020/11/crossword,,11/16/2020,who's in the crossword,"Crosswords are known for being too old, too white, and too male. We backed that up with data.",93,Who’s in the Crossword?,A look at representation and inclusivity in crossword puzzles.,23,62,"michelle,russell,jan",,,,"equality, crossword, puzzle, play, game, race, gender, language, diversity",,,,,crossword inclusivity,,games,9/25/2024,,
2020/11/crossword-puzzles,,11/16/2020,playable crossword,These playable mini crosswords let you get a feel for who gets included (and excluded) as clues and answers in puzzles.,119,Playble Puzzles About Race and Gender in Crosswords,"Minis generated from an analysis of the New York Times, and others.",51,67,"russell,michelle,amelia",,,,"equality, crossword, puzzle, play, game, race, gender, language, diversity",,TRUE,,,,,games,9/25/2024,,
2020/12/lighting-cost,,12/18/2020,cost of lighting,Candles and LEDs don’t pay for themselves. We’ll demonstrate just exactly how much work goes into warding off the dark.,119,The Historical Cost of Light,How difficult was it to obtain artificial light before the 19th century? Well...,28,80,"ilia,jan",,,,"history, light, cost, illumination, price",,,,,lighting cost,ilia,history,9/25/2024,,
2021/10/judge-my-music,,12/22/2020,music roast bot,How bad is your Spotify or Apple music? Our sophisticated A.I. judges your awful taste.,87,How Bad is Your Streaming Music?,Our sophisticated A.I. judges your awful taste in music.,32,56,"matt,mike",,,,"music, spotifiy, bad, rate, judge, roast, playlist",,,"your_input,popular",,roasting your Spotify,popular,"music,user-input",9/25/2024,,
2021/01/oreo,,01/05/2021,crossword oreos,Clue: We crunched the data on this controversial cookie and condiment crossword clue. Answer: Oreo.,99,Oreos and the Art of Crossword Puzzle Construction,A chronicle of a controversial cookie and condiment crossword clue.,50,67,russell,,,,"crossword, puzzle, play, game, oreo, sandwich cookie, language",,,,,Oreos and crosswords,russell,games,9/25/2024,,
2021/01/cool,,01/11/2021,cool cool cool,"We tracked every time someone says ""cool"" in community. Cool. Cool. Cool. ",74,Every time someone says cool in Community,"Watch all 412 cools from Abed, and others.",41,42,russell,,,,"television, cool, community, tv, show, language, video",,,video,,,,television,10/25/2024,,fixed 10/25
2021/02/jukebox,,02/08/2021,live music analyst,Our auditory analyst compares 770 artists’ live recordings with their and studio counterparts. Music snobs rejoice!,115,Introducing the Live Music Analyst,An auditory comparison of 770 artists’ live and studio tracks,34,61,"kat,kevin",,,,"music, performance, live, compare, analyst, song",,,,,,,music,9/25/2024,,
2021/03/love-and-ai,,03/08/2021,ai heartbreak,What do you do when your friends are sick of hearing about your breakup? Use a supercomputer to find a happier ending. ,119,Nothing Breaks Like A.I. Heart,An essay about artificial and emotional intelligence and finding an ending.,30,75,"pamela, russell, jan",,,,"language, relationship, ai, artificial intelligence, gpt-3, computer generated, computer, love",,,,,,,"experiment,ai",9/25/2024,,
2021/03/wine-model,,03/18/2021,wine and math,"This model attempts to predict a wine’s quality. We detect a note of math, with a hint of 0s and 1s. ",101,Wine & Math: A Model Pairing,We built a model that attempts to predict a wine’s quality.,28,59,lars,,,,"wine, math, predictive model",,,,,,,"food,science",9/25/2024,,
2021/03/foundation-names,,03/25/2021,makeup shade names,"Not all nudes are the same. We looked at how names for 6,816 makeup foundations can reveal bias in the beauty industry.",119,The Naked Truth,"How the names of 6,816 complexion products can reveal bias in beauty.",15,69,"ofunne, amber",,,,"diversity, equality, makeup, foundation, beauty, skin, color",,,,,,,"beauty,race",9/25/2024,,
2021/03/covid-science,,03/31/2021,covid research,"Science stepped up: on average there were ~11 new coronavirus articles coming out each hour, every hour throughout 2020.",120,How Science Came Together During COVID-19,A look at the global research effort to combat the coronavirus pandemic.,41,72,jeff,,,,"science, covid, research, coronavirus, covid-19, study",,,,,,,science,9/25/2024,,
2021/04/music-bubble,,04/08/2021,music bubble,"To help you get out of your geographic music bubble, we found the songs that are most popular far away from you.",112,Get out of your geographic music bubble,"The songs that are popular, far away from you.",39,46,matt,,,,"music, geography, bubble, map, youtube, song",,,,,,,"music-map,maps",9/25/2024,,
2021/04/solo,,04/22/2021,artists' solo careers,How many artists overshadow their band after going solo? We crunched the numbers.,81,How many artists overshadow their band after going solo?,"What the data say about Beyoncé, Nick Lachey, and others.",56,57,russell,,,,"music, solo, artist, band, group, celebrities, celebrity",,,,,,,music-pop,9/25/2024,,
2021/06/same-gender-lyrics,,06/29/2021,same-gender lyrics,A story about hearing yourself in same-gender pop lyrics for the first time and tracking it with data ever since.,113,“I Kissed A Girl” to “Call Me By Your Name”,A story about hearing yourself in same-gender lyrics for the first time,43,71,jan,,,,"music, queer, song, lyric, language, gender, representation, diversity, lgbtq, celebrities, celebrity, katy perry, lil nas x, i kissed a girl, call me by your name",,,,,same-gender lyrics,jan,"music-pop,queer",9/25/2024,,
2021/07/rickrolling,,07/20/2021,history of rickrolling,"A visual history of Rickrolling — millions of comments, posts, and links — that’s never gonna let you down.",107,A Visual History of Rickrolling,"Millions of comments, posts, and links, charted.",31,48,russell,,,,"music, rick astley, rickroll, video, meme",,,,russell,rickrolling,russell,music-pop,9/25/2024,,
2021/08/nba-carry,,08/17/2021,nba carry jobs,"For groups to succeed, sometimes one person will shoulder more than their fair share of the work. Just ask LeBron James.",120,Ranking the Biggest NBA Finals Carry Jobs,It is mostly LeBron James.,41,26,russell,,,,"basketball, nba, final, rank, carry",,,,,,,basketball-players,9/25/2024,,
2021/08/spades,,08/30/2021,spades,"Through data and interviews, learn why the card game Spades is the perfect metaphor for the African-American community.",119,How you play Spades is how you play life,First-of-its kind data exploration of Spades in the African-American community,40,78,gabrielle,,,,"spades, card game, black, african-american, card, community, survey, deck, play, game",,,,,,,games,9/25/2024,,
2021/10/lenna,,10/29/2021,lenna image,We scraped the web to track one of the internet’s oldest images — one that lives on without the subject’s consent.,114,Can Data Die? Tracking the Lenna Image,Why one of the internet’s oldest images lives on without its subject’s consent,38,78,"jennifer, jan, michelle",,,,"lenna, lena, playboy, image, processing, meme, photo, jpeg, data, privacy, rights, internet",,,popular,,,,"gender,photos,science",9/25/2024,,
2021/12/sesame,,12/14/2021,sesame allergies,We investigated 200 crackers to learn about food allergies and labelling. Warning: may contain troubling results.,113,The Hidden Risks of Sesame Allergies,What we learned from reading the labels of 200 crackers.,36,56,"russell, michelle",,,,"sesame, allergies, allergy, food, risks, reaction, grocery, 8-bit, pixel, animation",,,,,sesame allergies,russell,food,9/25/2024,,
2022/01/deepwork,,01/19/2022,deepwork,Learn how to hack your digital DNA to achieve the mid-level corporate career of your dreams.,92,Deepwork,A satire about the future of job hunting.,8,41,jess,,,,"deepwork, satire, humor, comedy, deepfake, ai, machine learning, gpt-2, jobs, bias",,,,,,,comedy,9/25/2024,,
projects/caption-contest,,01/27/2022,ai caption contest,We tried to win the New Yorker Cartoon Caption Contest by making AI-generated captions.,87,Help a Computer Win the New Yorker Cartoon Caption Contest,This is an experiment to see if an AI program can produce humor.,58,64,"russell, matt, pamela",,,,"comedy, ai, artificial intelligence, gpt-3, computer, computer generated, caption, cartoon, new yorker, contest, vote",,,,,,,"experiment,ai,user-input",9/25/2024,,
2022/02/women-in-headlines,,02/02/2022,women in headlines,"Analyzing more than 382,000 headlines to see how women are represented (or misrepresented) in the news.",103,When Women Make Headlines,A visual essay about the (mis)representation of women in the news,25,65,"leonardo, sahiti",,,,"women, news, media, headlines, gender, newspaper",,,,,,,"gender,language",9/25/2024,,
2022/02/plain,,02/17/2022,accessible writing,Want to make your writing more accessible? Algorithms might not be the answer.,78,What Makes Writing More Readable?,An examination of translating text to make it as accessible as possible.,33,72,"rebecca, jamie, michelle",,,,"accessibility, language, translation, disability, reading, algorithm, plain",,,,,,,language,9/25/2024,,
2022/02/redraft,,02/28/2022,nba redrafted 2.0,What could have been for your favorite NBA team? A data-driven revisionist history of the NBA draft.,100,The NBA Redrafted 2.0,A data-driven revisionist history of the NBA draft.,21,51,russell,,,,"nba, basketball, draft, redraft, team, player",,,,,,,basketball-players,9/25/2024,,
2022/03/weather-map,,03/17/2022,days since record high,How many days since a record temperature high? Check the always-updating scoreboard.,84,How many days since a record-high temperature?,Counting the time elapsed since a U.S. city set a record-high temperature,46,73,matt,,,,"climate change, weather, map",,,,,,,"climate-change,maps",9/25/2024,,
2022/03/cough,https://journal-doi.org/10.731/pcbi.1007742/,03/23/2022,coughs & oscars,Do movies with more coughs win Best Picture? A near flawless expulsion-based model that predicts a win for Dune.,112,"Chalamet Coughs, Dune Wins",Predicting Best Picture winners using coughs and sneezes.,26,57,"mike, jasone, russell",,,,"movie, film, oscar, academy, cough, sneeze, dune, award",,TRUE,,,,,comedy,9/25/2024,,
2022/04/banknotes,,04/12/2022,who's on money,We looked at more than 200 banknotes to see who’s represented on today’s currencies around the world.,101,Who’s in Your Wallet? ,A visual essay about the famous figures representing currencies around the world,22,80,"alejandra, eric, jeff",,,,"money, banknotes, currency, representation, gender, equality",,,,,,,gender,9/25/2024,,
2022/04/random,,04/27/2022,studying randomness,"We found this cool study about age and randomness, but we think it is flawed. Can you help us reproduce it?",107,Help us reproduce this flawed study.,Are 25 year olds really more random than 60 year olds?,36,54,"russell, arjun",,,,"study, random, research, reproduction, replication, age, experiment",,,your_input,,,,"experiment, science",9/25/2024,,
projects/heat-records,,05/25/2022,city heat records,"We’re tracking heat records in 400 U.S. cities, and you can look up your city.",78,Tracking Heat Records in 400 U.S. Cities,Was yesterday a daily heat record where you live?,40,49,"russell, matt",,,,"climate change, weather",,,updating,,,,"climate-change,maps",9/25/2024,,
2022/06/tiktok-video,https://www.youtube.com/watch?v=S1m-KgEpoow,06/02/2022,viral tiktok songs,"In a collaboration with Vox, we tracked what happens after TikTok songs go viral.",81,We tracked what happens after TikTok songs go viral,A data investigation into how TikTok is shaping the music industry.,51,67,matt,,,,"music, tiktok",,TRUE,video,,,,music,9/25/2024,,
2022/06/aztec-gods,,06/15/2022,aztec pantheon,Curious what your teachers never taught you about the Aztec Gods? Here's an illustrated introduction.,101,A Visual Guide to the Aztec Pantheon,An Introduction to Aztec Gods,36,29,"gwendal, luc",,,,"history, aztecs, gods, pantheon, aztec",,,,,,,history,9/25/2024,,
2022/06/streaming,,06/30/2022,streaming royalties,Ever wonder what happens when you press play on your favorite song? We look how artists get paid from streaming music.,118,How Artists Get Paid From Streaming,"We explain how your money gets from you to a streaming platform, and finally to an artist.",35,90,elio,,,,"music, streaming, spotify, apple music, deezer, royalties, money",,,,,,,music,9/25/2024,,
2022/07/tiktok-story,,07/21/2022,tiktok success,"Is TikTok helping artists become commercially successful, or does the medium present a new opportunity worth pursuing?",118,The Unlikely Odds of Making it Big on TikTok,"Success on TikTok is hard, but the platform changes the role of audio.",44,70,matt,,,,"music, tiktok",,,,,,,music,9/25/2024,,
2022/08/censorship,,08/29/2022,big [censored] theory,"We watched 100 episodes of The Big Bang Theory to figure out what the government in China censors, and why.",107,The Big [Censored] Theory,A case study on how the government censors TV in China.,25,55,"manyun, russell",,,,"china, tv, television, government, censor, censorship, media, big bang theory",,,popular,,,,television,9/25/2024,,
2022/09/cdmx,,09/16/2022,sounds of cdmx,"Take an audio tour of Mexico City, seen through its street vendors.",67,The Sounds of CDMX,How informal street vendors define the sonic landscape of Mexico’s capital,18,74,"reiss, oscar, michelle",,,,"mexico, cities, audio, street vendors",,,audio,,the sounds of Mexico City,michelle,,9/25/2024,,
games/words-against-strangers,,09/23/2022,words vs. strangers,One random person a day gets the chance to play against the internet in a game of words. Can you beat them?,107,Words Against Strangers,One random person a day gets the chance to play against the internet in a game of words.,23,88,"russell, michelle",,,,"words, against, strangers, word, game, wordle, play, puzzle",,,"popular,your_input",,,,,9/25/2024,,
2022/09/wnba-kicks,,10/03/2022,wnba kicks,Watch women's hoops signature sneakers morph from Swoopes to Stewie.,68,A Visual History of WNBA Kicks,Watch women's hoops signature sneakers morph from Swoopes to Stewie,30,67,jan,,,,"wnba, shoes, sneakers, kicks, basketball, women, swoopes, lobo, leslie, cooper, mccray, staley, holdsclaw, taurasi, parker, delle donne, stewart",,,,,,,"basketball,sports,fashion,gender",9/25/2024,,
2022/11/upward-mobility,,11/22/2022,upward mobility,How does where you grow up impact your economic opportunity? Our author returns to his roots.,93,Upward Mobility,How does where you grow up impact your economic opportunity?,15,60,"aaron, michelle, jan",,,,"upward, mobility, income, economy, economic, opportunity, opportunities, wealth, race, generation, family, neighborhood, great migration, migration",,,,,,,,9/25/2024,,
2022/12/emotion-wheel,,12/12/2022,emotion wheel,"A journey of emotional awareness, where we uncover the power of naming and visualizing your feelings.",101,How Are You Doing?,"A journey of emotional awareness, where we uncover the power of naming and visualizing your feelings.",18,101,"abby, michelle",,,,"emotions, feelings, emotion wheel, personal, art, illustration",,,"your_input,popular",,,,,9/25/2024,,
2022/12/yard-sale,,12/21/2022,super rich theory,Why some mathematicians argue the economy is designed to create a few super rich people – unless we stop it.,108,Why the Super Rich are Inevitable,Why some mathematicians argue the economy is designed to create a few super rich people – unless we stop it.,33,108,alvin,,,,"yard sale model, inequality, redistribution, oligarchy, rich, poor, money, economy",,,popular,,,,,9/25/2024,,
2023/01/lit-canon,,01/10/2023,literary canon,We explored university syllabi to identify the literary canon.,62,What Literature Do we Study from the 1990s?,"The turn-of-the-century literary canon, using data from college syllabi",43,71,matt,,,,"books,literature,syllabi",,,,,,,,9/25/2024,,
